1,138,2022-02-08,NULL,Credit Card,468.88,6,0.14,2.68,34.50
2,468,2022-01-12,Cancelled,NULL,408.22,8,0.08,241.08,15.69
3,53,2023-02-02,Completed,PayPal,1105.64,1,0.29,-2.49,40.71
4,166,2023-03-15,Returned,NULL,391.34,8,0.00,45.80,25.92
5,277,2022-11-24,NULL,NULL,1363.75,6,0.18,203.19,8.15
6,466,2024-05-23,Completed,PayPal,1291.26,2,0.16,329.58,5.08
7,99,2022-07-27,NULL,Bank Transfer,1056.41,1,0.24,3.60,28.18
8,363,2023-03-24,Cancelled,Bank Transfer,1342.11,8,0.25,-49.18,38.64
9,422,2024-03-04,Completed,NULL,844.11,5,0.18,321.78,32.59
10,20,2024-01-15,Completed,NULL,159.92,7,0.07,17.73,43.06
11,12,2022-03-04,Completed,NULL,563.85,5,0.19,-11.07,18.80
12,327,2022-09-25,Completed,Credit Card,358.00,8,0.18,35.81,18.42
13,233,2022-03-02,Returned,NULL,282.96,4,0.22,131.62,13.64
14,193,2022-05-24,Completed,NULL,328.45,8,0.18,334.84,16.86
15,153,2024-11-05,NULL,Cash,1046.38,6,0.26,-48.21,35.58
16,383,2023-12-16,Returned,Cash,433.74,4,0.10,341.35,12.42
17,217,2024-05-19,Completed,Credit Card,337.53,4,0.07,300.62,36.30
18,229,2022-06-02,Cancelled,Bank Transfer,320.93,6,0.22,87.98,26.31
19,56,2023-09-25,Returned,Credit Card,1308.52,6,0.15,115.88,15.47
20,159,2022-07-05,Cancelled,Credit Card,1480.08,1,0.09,34.21,26.36
21,466,2023-09-16,Cancelled,NULL,475.88,3,0.17,149.74,35.23
22,488,2023-08-22,NULL,PayPal,102.38,5,0.17,345.11,20.51
23,26,2023-05-16,Returned,Bank Transfer,769.44,6,0.10,195.75,9.68
24,133,2022-10-10,NULL,NULL,1010.38,1,0.12,173.36,10.86
25,376,2022-01-02,Cancelled,NULL,1455.59,2,0.20,326.34,21.22
26,337,2024-04-08,Completed,Credit Card,778.84,4,0.18,296.79,17.90
27,248,2023-12-05,Returned,PayPal,1175.70,7,0.21,341.42,20.83
28,347,2023-05-22,Returned,Credit Card,966.76,6,0.09,230.84,26.35
29,81,2022-05-14,Returned,PayPal,1289.13,3,0.09,219.19,31.45
30,422,2022-11-29,NULL,Credit Card,755.09,1,0.08,124.85,31.07
31,415,2023-03-02,Completed,NULL,180.14,5,0.14,48.24,22.05
32,401,2022-08-12,Cancelled,NULL,676.94,4,0.16,175.23,22.77
33,150,2022-09-14,NULL,PayPal,530.63,3,0.23,227.00,25.78
34,101,2024-07-03,NULL,PayPal,1431.64,1,0.14,8.89,20.45
35,165,2022-02-18,Completed,Credit Card,341.67,5,0.27,39.12,42.87
36,372,2025-02-01,Returned,Credit Card,163.28,3,0.03,261.21,8.22
37,153,2022-12-23,Completed,PayPal,319.86,2,0.18,136.98,36.71
38,6,2023-11-13,Completed,PayPal,272.91,8,0.05,58.19,19.81
39,162,2022-05-13,NULL,Bank Transfer,816.60,5,0.24,48.31,27.60
40,50,2023-08-16,Completed,PayPal,1387.88,6,0.09,77.36,38.86
41,300,2024-04-01,Returned,Credit Card,1102.74,4,0.26,306.43,34.69
42,120,2024-06-20,Completed,Credit Card,998.10,1,0.20,280.07,38.92
43,308,2024-07-04,Returned,NULL,196.41,2,0.25,-4.62,42.78
44,188,2024-01-02,NULL,PayPal,491.34,5,0.09,226.58,10.08
45,342,2023-01-26,Returned,Bank Transfer,906.36,1,0.24,-26.01,10.51
46,259,2024-12-04,Returned,Bank Transfer,1388.84,8,0.22,93.72,13.25
47,1,2022-12-10,NULL,Credit Card,250.29,3,0.14,19.39,41.60
48,430,2024-04-18,Cancelled,Credit Card,339.47,7,0.02,-30.08,44.74
49,14,2024-03-17,Cancelled,Cash,1481.92,7,0.17,183.32,20.94
50,300,2022-02-17,NULL,Cash,837.89,8,0.06,-38.62,19.23
51,491,2023-10-13,Returned,NULL,1478.32,1,0.14,59.93,25.41
52,101,2024-09-15,Cancelled,NULL,862.60,7,0.23,88.46,9.50
53,292,2022-03-23,NULL,Cash,374.60,4,0.07,210.64,12.23
54,220,2022-09-09,Returned,NULL,818.41,8,0.23,213.83,20.19
55,347,2024-10-23,Cancelled,NULL,1479.95,1,0.12,-39.56,37.81
56,494,2023-12-09,Completed,Credit Card,170.78,1,0.20,161.33,26.37
57,346,2025-01-28,NULL,Bank Transfer,805.54,7,0.24,191.86,7.00
58,351,2023-01-05,Completed,NULL,262.08,2,0.21,333.54,5.45
59,264,2025-04-01,Completed,Bank Transfer,860.95,3,0.23,60.95,44.38
60,269,2022-09-24,NULL,Bank Transfer,845.40,4,0.19,301.59,5.89
61,211,2024-05-25,NULL,NULL,680.16,7,0.26,298.98,10.48
62,153,2023-08-21,NULL,NULL,902.96,2,0.20,174.29,35.91
63,113,2024-03-11,Completed,Cash,1166.91,2,0.22,322.33,18.73
64,334,2023-04-15,Returned,Credit Card,889.08,2,0.06,119.06,8.52
65,143,2023-02-08,Completed,PayPal,1301.48,5,0.14,246.40,39.53
66,487,2023-11-18,Returned,Credit Card,711.46,4,0.06,230.21,30.10
67,438,2025-03-18,Returned,NULL,1351.47,3,0.21,163.32,32.79
68,350,2023-09-06,NULL,NULL,1463.07,3,0.06,-44.20,32.50
69,10,2025-02-02,NULL,Cash,831.88,5,0.24,-6.13,28.55
70,41,2022-07-15,Returned,Bank Transfer,1301.33,6,0.26,200.84,30.78
71,114,2022-09-04,Completed,NULL,420.21,6,0.16,337.83,26.02
72,142,2024-04-03,Completed,NULL,248.27,8,0.22,197.64,28.36
73,433,2023-07-29,Cancelled,Bank Transfer,71.56,7,0.19,-4.36,30.81
74,36,2022-09-15,NULL,NULL,612.99,3,0.30,200.83,27.29
75,149,2022-10-22,NULL,Bank Transfer,1410.32,3,0.29,143.96,5.28
76,182,2025-02-23,Returned,Cash,1246.56,2,0.01,-21.12,42.72
77,99,2024-11-05,NULL,Credit Card,1326.25,7,0.20,348.78,25.77
78,289,2023-04-17,Completed,NULL,321.51,3,0.09,273.79,6.79
79,384,2024-07-17,Completed,NULL,157.01,6,0.12,184.47,8.00
80,397,2024-08-18,Returned,PayPal,1331.88,3,0.28,214.65,29.42
81,251,2024-07-20,NULL,NULL,581.53,5,0.17,-35.41,40.05
82,148,2022-08-25,Returned,Bank Transfer,1538.60,6,0.02,227.75,29.31
83,403,2022-02-08,Completed,NULL,855.75,5,0.22,330.07,32.09
84,226,2023-03-17,NULL,NULL,1222.93,2,0.19,158.49,41.51
85,74,2022-08-14,Completed,Credit Card,686.24,7,0.12,240.07,35.50
86,498,2024-04-01,Completed,PayPal,844.26,1,0.10,253.35,32.75
87,134,2024-04-27,Cancelled,PayPal,1281.27,3,0.01,208.07,21.76
88,96,2022-01-13,NULL,Credit Card,905.23,2,0.24,337.58,14.43
89,454,2022-04-30,Returned,Credit Card,447.04,6,0.02,9.09,36.55
90,217,2022-06-22,NULL,PayPal,1442.58,5,0.19,313.77,21.37
91,248,2022-08-26,NULL,Credit Card,1275.00,3,0.04,27.16,31.15
92,8,2022-12-03,Returned,Credit Card,956.63,4,0.15,328.63,13.43
93,38,2022-07-21,Cancelled,PayPal,1279.46,4,0.15,243.98,23.33
94,331,2023-11-26,Completed,Credit Card,550.44,8,0.10,124.42,16.44
95,217,2024-03-02,Returned,Credit Card,429.38,6,0.26,1.03,37.00
96,252,2023-07-15,Returned,PayPal,982.90,5,0.01,27.62,41.24
97,178,2024-11-19,Completed,NULL,329.58,8,0.22,35.30,26.83
98,166,2023-01-04,NULL,NULL,1488.51,7,0.19,116.37,34.56
99,312,2022-12-04,Returned,NULL,736.81,8,0.24,302.38,19.52
100,76,2023-03-10,Completed,PayPal,1099.54,3,0.25,110.29,26.58
101,474,2023-11-13,Returned,NULL,341.46,8,0.14,25.98,6.79
102,418,2023-03-03,Cancelled,Bank Transfer,109.00,1,0.13,101.06,34.18
103,469,2025-03-25,Completed,NULL,1166.88,1,0.08,297.65,10.71
104,263,2025-01-26,NULL,Cash,1337.01,5,0.20,27.87,42.58
105,184,2024-04-07,Returned,NULL,653.98,6,0.18,108.02,27.91
106,213,2023-02-03,Returned,PayPal,192.38,8,0.02,205.29,38.85
107,127,2023-03-01,Completed,Cash,1281.81,1,0.27,105.82,14.74
108,288,2022-07-26,Completed,NULL,1355.32,2,0.28,28.04,25.39
109,152,2023-01-23,Returned,Bank Transfer,1405.63,3,0.25,217.87,35.48
110,162,2022-02-16,NULL,PayPal,498.62,8,0.26,137.22,29.97
111,389,2023-03-09,Completed,Credit Card,485.99,7,0.28,279.82,41.63
112,242,2024-09-24,NULL,Credit Card,540.82,3,0.02,104.08,34.80
113,474,2023-04-20,Returned,PayPal,911.34,6,0.17,336.61,14.85
114,489,2024-04-09,Completed,NULL,313.75,6,0.24,-21.37,18.28
115,433,2022-03-29,Returned,Credit Card,493.02,6,0.09,24.11,34.86
116,196,2024-04-22,Cancelled,PayPal,724.01,6,0.02,95.48,36.77
117,226,2023-12-20,Completed,PayPal,849.47,6,0.18,319.56,34.95
118,464,2025-02-23,Cancelled,PayPal,591.29,6,0.12,-1.15,34.00
119,330,2023-12-21,Completed,PayPal,1008.27,4,0.17,268.66,6.69
120,316,2023-07-18,NULL,PayPal,199.04,7,0.09,313.14,24.14
121,278,2025-02-23,Returned,NULL,1259.70,8,0.27,158.59,14.52
122,146,2023-09-08,NULL,Cash,192.09,3,0.07,73.73,6.35
123,288,2023-09-09,NULL,NULL,122.37,6,0.25,235.97,36.96
124,167,2024-10-10,Completed,PayPal,1510.79,4,0.11,317.89,39.08
125,479,2023-01-12,Cancelled,Bank Transfer,1409.98,3,0.01,114.93,11.23
126,48,2022-03-03,Returned,Credit Card,1514.47,5,0.08,196.25,37.94
127,225,2022-01-11,NULL,Credit Card,859.28,7,0.11,315.08,6.82
128,287,2022-03-24,NULL,Credit Card,1444.73,1,0.10,88.31,15.59
129,257,2024-05-07,NULL,Credit Card,703.56,7,0.23,157.55,21.33
130,105,2022-01-14,NULL,NULL,1370.41,4,0.16,134.63,30.05
131,479,2022-03-04,Returned,NULL,1545.68,2,0.22,113.07,28.43
132,402,2024-01-03,Returned,PayPal,1381.88,3,0.28,-24.84,22.29
133,28,2025-03-18,Completed,Credit Card,739.59,2,0.28,121.51,38.94
134,92,2023-01-01,Completed,Credit Card,1060.63,5,0.30,-2.50,34.39
135,51,2022-06-02,NULL,Bank Transfer,658.66,4,0.01,70.35,6.82
136,59,2024-08-15,NULL,Credit Card,575.04,1,0.14,195.24,6.91
137,245,2024-01-11,Cancelled,NULL,1072.69,2,0.15,242.00,12.70
138,1,2024-04-22,Completed,Credit Card,1493.89,7,0.13,286.14,5.74
139,394,2023-10-06,Completed,Cash,1045.89,7,0.18,261.59,30.46
140,467,2022-02-17,Completed,NULL,328.32,3,0.25,119.43,36.14
141,476,2022-05-11,Returned,Credit Card,1008.94,6,0.08,185.01,21.11
142,177,2023-09-22,NULL,Cash,1369.20,1,0.14,37.77,22.80
143,47,2024-11-09,Returned,NULL,827.28,1,0.16,10.09,29.89
144,402,2024-07-05,Cancelled,NULL,60.33,1,0.29,58.60,44.12
145,187,2023-09-27,Returned,Bank Transfer,514.43,4,0.21,259.67,38.47
146,271,2024-01-13,NULL,NULL,775.71,1,0.26,312.88,6.09
147,240,2022-05-30,NULL,Credit Card,698.69,4,0.19,-16.46,20.73
148,370,2022-10-06,Returned,Bank Transfer,1242.62,7,0.20,247.20,34.04
149,13,2025-04-12,Completed,Cash,971.85,8,0.16,281.14,7.87
150,48,2022-11-01,NULL,Credit Card,1011.26,4,0.10,124.34,18.90
151,440,2022-08-24,Returned,NULL,554.96,5,0.24,304.37,29.66
152,105,2023-12-31,Cancelled,NULL,812.94,1,0.19,170.91,44.93
153,27,2024-11-28,Completed,NULL,511.12,7,0.26,255.22,37.04
154,161,2025-02-09,NULL,Credit Card,1281.70,3,0.25,-47.66,8.83
155,356,2023-12-03,NULL,Credit Card,330.45,1,0.30,204.84,35.08
156,232,2022-04-06,NULL,PayPal,364.37,8,0.22,148.12,43.07
157,334,2023-11-30,Completed,NULL,450.80,4,0.12,178.51,5.99
158,356,2024-10-31,NULL,Bank Transfer,572.82,8,0.02,107.75,20.46
159,76,2024-05-30,Returned,Credit Card,1398.15,6,0.16,-4.93,11.21
160,228,2024-06-19,Returned,NULL,54.41,2,0.23,144.81,17.45
161,346,2024-11-07,NULL,PayPal,864.91,6,0.26,146.38,39.48
162,242,2022-04-22,Completed,Bank Transfer,1385.42,5,0.08,303.84,40.24
163,483,2024-08-27,Completed,NULL,1548.92,3,0.28,257.76,23.60
164,108,2022-10-28,Completed,PayPal,254.21,8,0.08,58.45,21.92
165,10,2023-03-11,Returned,Bank Transfer,1548.48,3,0.03,309.58,11.29
166,424,2022-08-04,Completed,NULL,1505.78,7,0.11,33.05,40.57
167,171,2022-06-07,Returned,NULL,499.60,7,0.14,306.50,44.50
168,337,2024-11-01,Cancelled,Bank Transfer,686.24,1,0.29,246.24,31.15
169,494,2022-06-29,Returned,Credit Card,1087.05,2,0.11,20.62,27.38
170,333,2022-08-09,NULL,Bank Transfer,490.18,2,0.19,262.66,42.82
171,455,2022-10-22,Completed,Bank Transfer,1214.32,2,0.29,182.30,14.54
172,135,2024-12-24,NULL,PayPal,958.00,8,0.03,339.18,38.02
173,454,2022-02-11,Completed,PayPal,991.53,1,0.23,160.91,25.95
174,493,2023-07-11,Completed,NULL,924.48,3,0.20,168.64,18.36
175,337,2023-11-26,Returned,Cash,343.25,4,0.15,59.73,37.50
176,24,2024-11-14,Completed,Bank Transfer,923.15,2,0.23,-42.26,31.89
177,264,2025-01-26,NULL,Credit Card,1133.08,2,0.06,103.61,8.77
178,494,2023-08-11,NULL,Credit Card,448.23,3,0.24,343.69,35.74
179,439,2024-12-14,Completed,Cash,1142.47,5,0.13,282.29,38.60
180,128,2024-02-15,Completed,Credit Card,89.25,2,0.28,75.79,27.67
181,355,2022-06-01,NULL,NULL,610.50,5,0.09,165.87,35.35
182,44,2023-09-10,Cancelled,Credit Card,1104.73,2,0.26,135.12,31.05
183,161,2024-12-19,NULL,Cash,1044.58,7,0.18,-49.24,23.53
184,130,2022-03-09,Completed,Credit Card,456.24,1,0.01,221.09,25.87
185,45,2022-04-26,Returned,Cash,1439.22,5,0.01,347.69,5.87
186,33,2024-07-18,Completed,Bank Transfer,544.29,6,0.00,46.19,34.24
187,363,2022-10-18,NULL,Bank Transfer,655.57,4,0.29,320.08,15.54
188,284,2024-02-23,Returned,Bank Transfer,350.54,4,0.21,327.73,24.19
189,410,2023-12-27,NULL,Bank Transfer,1544.12,2,0.17,13.53,27.93
