1,4296,115,2,185.54,104.44
2,3602,92,4,470.52,77.60
3,5479,77,1,23.56,30.14
4,3805,69,1,482.62,32.37
5,4563,87,5,443.62,-8.46
6,1220,103,5,64.60,65.71
7,9079,91,5,351.29,26.81
8,633,112,1,702.08,192.34
9,7547,38,5,83.19,65.41
10,2710,54,4,131.61,82.96
11,1924,44,5,589.23,98.79
12,597,108,4,676.85,58.07
13,2342,18,4,399.46,145.40
14,9594,34,5,432.75,113.75
15,9375,11,2,687.14,87.26
16,6590,69,2,661.22,153.96
17,7247,1,3,537.85,-10.21
18,8894,60,5,417.57,194.05
19,9045,66,1,200.05,12.58
20,6321,11,3,112.47,177.49
21,3617,45,5,154.35,99.71
22,4227,11,3,397.40,119.25
23,2872,77,3,287.74,222.95
24,4353,75,2,100.39,99.14
25,8693,95,3,341.09,161.34
26,4837,73,1,592.04,226.17
27,6887,48,4,176.31,82.37
28,421,118,1,506.23,124.30
29,5660,81,2,566.26,204.12
30,4919,94,4,363.88,116.83
31,6204,60,2,413.59,160.39
32,3689,56,3,258.40,0.09
33,5772,112,5,670.73,63.61
34,5874,87,3,327.68,228.82
35,2440,47,2,509.79,14.71
36,1052,26,3,314.93,4.49
37,9827,22,5,157.41,8.76
38,2541,10,4,682.76,29.13
39,3272,55,5,291.65,48.70
40,7678,60,2,64.09,8.52
41,5165,100,1,426.00,111.01
42,277,88,3,15.65,180.87
43,2662,19,2,450.40,109.60
44,522,3,3,168.41,155.21
45,8615,118,3,444.56,47.71
46,3587,103,2,107.56,221.68
47,9132,117,4,352.01,-4.73
48,8860,98,5,609.50,211.20
49,4282,79,3,592.35,214.51
50,7787,88,5,237.49,63.68
51,2898,23,3,369.92,204.94
52,2719,55,1,320.21,171.60
53,317,76,3,131.31,114.04
54,1228,84,3,349.89,93.22
55,8806,74,1,551.41,71.88
56,4465,8,4,432.68,189.89
57,7689,46,5,248.51,105.40
58,199,48,4,130.46,140.39
59,6248,110,4,661.90,2.76
60,3090,56,3,498.74,-8.12
61,8535,57,5,114.47,40.81
62,1137,86,1,105.11,213.94
63,5308,72,3,230.91,49.34
64,1662,3,3,487.01,47.65
65,3858,54,4,706.96,86.52
66,35,77,4,441.26,163.95
67,5724,82,3,98.66,52.74
68,6630,31,5,147.27,145.24
69,3887,91,2,205.42,81.72
70,3254,54,1,406.26,99.43
71,6579,13,3,413.74,1.65
72,9068,55,1,561.99,163.48
73,9433,120,2,523.74,91.13
74,5476,33,2,604.06,14.96
75,2928,105,3,387.67,10.36
76,3859,69,4,551.82,206.34
77,250,10,1,241.63,154.73
78,6509,19,2,319.10,-15.23
79,3089,61,1,317.63,-16.03
80,7740,50,5,495.74,41.27
81,2776,111,1,537.12,217.87
82,2168,62,1,700.23,124.47
83,7499,29,3,268.88,14.73
84,7629,9,3,459.67,71.55
85,2947,58,5,495.53,138.52
86,75,24,5,310.01,84.43
87,1330,115,5,552.20,109.90
88,5791,16,4,575.69,63.83
89,4313,118,1,191.71,50.10
90,4419,5,5,504.44,79.59
91,580,69,3,141.91,199.38
92,2507,56,2,346.19,26.97
93,1778,97,4,626.83,137.05
94,9321,34,4,654.60,176.71
95,1034,84,5,160.53,131.93
96,2103,96,5,38.11,7.60
97,7491,37,3,588.80,-18.98
98,5718,16,3,660.96,136.76
99,2159,34,1,376.03,211.52
100,347,61,4,658.81,83.78
101,7461,101,2,264.68,195.83
102,7710,108,5,660.11,3.40
103,4042,28,3,518.80,226.93
104,8099,9,1,176.10,1.19
105,9648,5,1,247.08,103.36
106,2604,26,5,586.22,17.06
107,8373,117,5,507.08,58.00
108,2151,72,5,432.41,31.54
109,4961,76,4,433.83,22.06
110,8438,60,5,455.70,115.39
111,3083,26,3,362.64,123.88
112,3907,61,1,671.81,-1.49
113,9950,48,3,584.52,54.98
114,3364,30,2,117.03,17.33
115,3326,101,1,509.33,84.61
116,3402,67,4,645.08,134.96
117,3194,7,5,125.07,-19.41
118,6811,47,5,526.52,79.34
119,6962,98,4,511.59,82.56
120,5681,36,2,457.27,222.35
121,9173,65,5,235.93,134.73
122,6793,49,1,361.83,202.92
123,8664,18,2,108.88,9.41
124,5139,102,5,615.46,192.97
125,2046,82,5,451.45,81.24
126,2251,34,3,457.98,21.89
127,7932,37,1,62.12,49.74
128,5494,105,2,534.63,49.22
129,9291,100,1,51.75,213.38
130,3233,9,3,35.11,190.39
131,7426,77,1,592.36,122.78
132,1550,13,4,469.05,179.64
133,4531,73,5,236.92,222.03
134,9583,2,5,143.29,67.38
135,9002,5,5,230.77,130.10
136,6964,32,1,656.91,74.98
137,3788,56,2,676.40,-1.06
138,7059,50,4,20.80,3.71
139,1074,26,2,548.71,-4.52
140,3281,88,2,349.83,210.52
141,5857,53,3,682.88,188.22
142,2400,113,1,674.14,214.56
143,9207,112,2,67.26,167.80
144,3610,36,1,185.68,214.50
145,4571,16,2,479.67,30.63
146,5632,59,1,236.12,145.53
147,3063,87,4,553.03,190.40
148,43,109,3,691.36,105.60
149,6647,104,3,108.62,98.46
150,8609,91,1,423.09,218.75
151,8614,9,5,476.34,70.83
152,2841,33,2,80.76,180.19
153,2264,93,4,122.02,47.26
154,1204,13,5,444.33,146.68
155,5382,39,5,655.62,174.55
156,6287,74,3,383.13,183.17
157,4766,113,1,204.72,133.02
158,8611,9,1,161.46,51.72
159,7202,89,4,103.55,99.86
160,350,89,3,297.77,97.29
161,6527,107,5,303.93,172.55
162,5898,108,4,130.64,-15.74
163,112,77,5,165.61,154.57
164,9794,101,1,326.08,158.71
165,9247,44,1,194.43,171.61
166,7251,15,2,388.44,40.63
167,5787,60,5,644.49,189.17
168,6339,104,3,92.81,103.29
169,1231,115,1,11.25,77.52
170,262,107,2,537.37,124.62
171,7907,48,3,307.04,102.85
172,3544,39,3,495.55,221.86
173,8157,2,5,604.32,-4.40
174,7155,10,2,325.61,11.39
175,3365,48,5,525.12,200.49
176,9620,111,1,116.75,-1.13
177,8319,110,1,444.47,221.32
178,7042,111,4,421.41,-12.73
179,9618,27,2,692.21,218.74
180,1034,48,4,191.39,-16.07
181,5077,112,1,349.18,220.48
182,2804,102,2,41.94,165.34
183,6151,34,3,63.01,44.64
184,3283,61,4,35.74,186.67
185,1338,42,5,108.27,61.61
186,2966,7,4,333.21,154.72
187,6139,19,5,99.12,130.07
188,5808,86,3,202.58,124.41
189,9991,57,5,685.85,214.08
190,1967,95,1,456.50,-16.55
191,8730,119,4,458.09,25.65
